Input,BioGro #,Licensee,Type,Category,Sub Type
MicroLife,6352.0,Multikraft NZ Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
MicroLime,5575.0,Nitrosol Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Microthiol Disperss,4432.0,Horticentre Ltd,Crop Management,Fungicide,
Microthiol Disperss,4429.0,UPL New Zealand Ltd,Crop Management,Fungicide,
Microthiol Disperss,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Microthiol Disperss (SKU# 1031576),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Milk Powder,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Adjuvant,
Mineral Boost Pre-Calve Blend,5082.0,Fertco 2016 Ltd,Livestock Feed / Supplement,Supplement,
Mineral feeders: cobalt sulphate,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mineral feeders: humate powder,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mineral feeders: manganese sulphate,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mineral feeders: potassium sulphate (natural),4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mineral feeders: sodium molybdate,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mineral Sponge,2846.0,Blue Pacific Minerals Ltd,Facility Management,,
Minerals 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
ML Prime,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Moana Boron,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Boron,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Moana Boron (PBF) (SKU# 1011472, 1011471)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Moana Calcium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Calcium,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Cobalt,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Cobalt,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Copper,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Copper,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Extra,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Fish Fertiliser,
"Moana Extra (SKU# 1015416, 1015417, 1018856)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Iron,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Iron,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Iron (PBF) (SKU# 1036087),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Moana Magnesium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Magnesium,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Magnesium (PBF) (SKU# 1011479),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Manganese,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Manganese,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Moana Manganese (PBF) (SKU# 1034444, 1011473)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Molybdenum,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Molybdenum,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Molybdenum (PBF) (SKU# 1011476),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Moana Natural,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Natural,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Moana Natural,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Fish Fertiliser,
"Moana Natural (PBF) (SKU# 1027309, 1007909, 1011477, 1011478)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Moana Potassium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Potassium,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Potassium (PBF) (SKU# 1011474),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Moana Selenium,171.0,Pacific BioFert Ltd,Livestock Feed / Supplement,Supplement,Mineral
Moana Zinc,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Moana Zinc,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mobilizer,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Humate,
Mobilizer - Fulvic Acid,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Other,
Mobilizer (SKU# 1015628),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Humate,
Molasses,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,,
Molasses,5563.0,Natural Sugars (New Zealand) Ltd,Livestock Feed / Supplement,Supplement,Molasses
Molasses,5563.0,Natural Sugars (New Zealand) Ltd,Soil & Plant Nutrition,Molasses,
Molasses,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Molasses,
"Molasses (SKU# 1028719, 1020408, 1020407)",4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,
"Molasses (SKU# 1028719, 1020408, 1020407)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Molasses,
Monocalcium Phosphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Monocalcium Phosphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Monosodium Phosphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Monosodium Phosphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Morganics,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Other,
MostRein Pore-Tec,2933.0,PGG Wrightson (Fruitfed Supplies),Filtration,Plant,Activated carbon
Mulch Max,6238.0,Greencycle Ltd,Soil & Plant Nutrition,Mulch/Bark,
Multi Oceans Thrift Organic Salt Lick (SKU# 1036861),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,Salt Lick
Mung Bean (Code - 4035),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Mussel Meal,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Mussel Meal,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Shellfish Fertiliser,
Mussel Meal,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Shellfish Fertiliser,
Mussel Meal,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Shellfish Fertiliser,
Mustard Green Giant (Code – 3390),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Mycoplasma 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Mycormax,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Other
Mycormax,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Other
Mycormax,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,
MyNoke,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,,
"Myristica 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Nacalit,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,Mineral,Bentonite
Nat Carb,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Nat Mur,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Nat Sulf,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Natrakelp Liquid Seaweed for Animals,6320.0,Natrakelp NZ Ltd,Livestock Feed / Supplement,Supplement,
Natrakelp Liquid Seaweed for Plants,6320.0,Natrakelp NZ Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Natrakelp Plant & Soil Conditioner,6320.0,Natrakelp NZ Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Natrium Chloratum (muriaticum) C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Natrum mur 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Natuferm Bright,5605.0,Winequip Products Ltd,Yeast Nutrient,,
Natuferm Intense,5605.0,Winequip Products Ltd,Yeast Nutrient,,
Natura Boost,5224.0,Grologic Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Natura Fulvic,5224.0,Grologic Ltd,Soil & Plant Nutrition,Humate,
Natura Humic,5224.0,Grologic Ltd,Soil & Plant Nutrition,Humate,
Natura Humic Liquid,5224.0,Grologic Ltd,Soil & Plant Nutrition,Humate,
Natura Kelp,5224.0,Grologic Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Natural Salt,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Salt,
Natural Sea Salt Fine/Coarse,4211.0,Dominion Salt Ltd,Processing Aid / Non Agriculture,Salt,
Natural Teat Conditioner,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Herbal remedies,
Nature's Cycle H Tincture,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Natures flame pellet ash,5506.0,Nature's Flame,Soil & Plant Nutrition,Ash,
Natures Flame Pellets,5506.0,Nature's Flame,Soil & Plant Nutrition,Ash,
Natures Flame Pellets,5506.0,Nature's Flame,Farm Management,Animal Husbandry,Animal Bedding
Naturezest,5943.0,Zest Biotech Ltd,Crop Management,Elicitor,
NEB,4547.0,Grosafe Chemicals Ltd,Soil & Plant Nutrition,Other,
Neem Granules,5530.0,Green Trading Co Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Neem Insecticide,5530.0,Green Trading Co Ltd,Crop Management,Insecticide,
Neem Multi-purpose Cleaner,5530.0,Green Trading Co Ltd,Facility Management,Cleaning,Plant extract based cleaners and sanitiser
Neem Pet Spray,5530.0,Green Trading Co Ltd,Livestock Treatment,Herbal remedies,Herbal extracts
Neem Seaweed Tonic,5530.0,Green Trading Co Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Neem Tree Granules,5010.0,Oakdale Organics,Crop Management,Insecticide,
Neem Tree Granules,5010.0,Oakdale Organics,Soil & Plant Nutrition,Plant Derived Fertiliser,
NeemAzal®-T/S,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
NeemAzal®-T/S,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Insecticide,
NeemAzal®-T/S,4432.0,Horticentre Ltd,Crop Management,Insecticide,
"NeemAzal®-T/S (SKU# 1001036, 1012769)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Neo Crispy,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Neo Sweet,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Neoanticid,2933.0,PGG Wrightson (Fruitfed Supplies),Acid Regulation,De-acidification,Calcium carbonate
Neospora 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Nimbus,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Nimbus,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Fungicide,
Nitric Acid,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Nitrogen Food Grade 157,5589.0,BOC Ltd,Sparging / Creating inert environment,,
Nitrosol Organic,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Nitrosol Organic,5575.0,Nitrosol Ltd,Soil & Plant Nutrition,Fish Fertiliser,
"Nitrosol Organic (SKU# 1004291, 1010592, 1015638)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Nitrosol Peptone Amino,5575.0,Nitrosol Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Nitrosol Seaweed Flakes,5575.0,Nitrosol Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NO Cockroach Traps,4850.0,Kiwicare Corporation Ltd,Facility Management,Pest control,
No.5 Bark Nuggets,3589.0,Daltons Ltd,Soil & Plant Nutrition,Mulch/Bark,
Nobile American Blend,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Nobile Base,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Nobile Fresh,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Nobile Intense,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Nobile Spice,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Nobile Sweet,5587.0,Laffort New Zealand Ltd,Flavouring Agent,,
Noblesse,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
NoMate CM,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Insecticide,
NoMate CM,4432.0,Horticentre Ltd,Crop Management,Pesticide,
NoMate Codling Moth Spirals (SKU# 1008341),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
NoMate NZLR Spirals,4432.0,Horticentre Ltd,Crop Management,Pesticide,
NoMate NZLR Spirals,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Insecticide,
NoMate NZLR Spirals (SKU# 1019378),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
NoMate Quattro,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Insecticide,
NoMate Quattro,4432.0,Horticentre Ltd,Crop Management,Pesticide,
NoMate Quattro (SKU# 1018154),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Nordox 75 WG,4432.0,Horticentre Ltd,Crop Management,Fungicide,
Nordox 75 WG,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Fungicide,
Nordox 75 WG,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
"Nordox 75 WG (SKU# 1006064, 1011799)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Norshield 45 WG,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Fungicide,
Norshield 45 WG (SKU#1051018),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Nov@,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Novoclair Speed,5605.0,Winequip Products Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
NSA,5079.0,Henry Manufacturing Ltd,Crop Management,Adjuvant,
NTS Soft Rock,5583.0,Biologix,Soil & Plant Nutrition,Mineral Fertiliser,
Nuron-BioSafe,5421.0,Nuron Organics Ltd,Facility Management,Cleaning,Other
NutraBoost,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Humate,
NutraBoost + Fe Organic,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Other,
NutraBoost Bio,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,,
NutraBoost Gold,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Humate,
NutriBoost Gold,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,,
Nutricell AA,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Nutricell Finish,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Nutricell Fullarom,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Nutricell Initial,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Nutrient Vit End,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Nutriferm Energy,5682.0,Enartis Pacific Pty Ltd,Yeast Nutrient,Yeast derivate,
Nutri-life Micro-Force,5583.0,Biologix,Soil & Plant Nutrition,Microorganisms,Other
Nutrimax Organic Boron 10%,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Nutrimax Organic Selenium,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Nutrimax Organic Selenium 1%,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,,
Nutristart Org,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Nux vomica 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Nux Vomica C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
"NZ BioAmino Nitrogen (SKU# 1020639, 1020638)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NZ Humate,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Humate,
NZ pollen 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
NZBioActive,5467.0,Waikaitu Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NZBioActive,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NZBioActive,3589.0,Daltons Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NZBioActive S Grade,5467.0,Waikaitu Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
NZBioAmino,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Plant Extract / Lysate,
NZBioAmino,5467.0,Waikaitu Ltd,Soil & Plant Nutrition,Plant Extract / Lysate,
NZBioAmino Nitrogen,3589.0,Daltons Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ocean Base,5936.0,Zenith Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Ocean Base,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Ocean Fert Sea Weed Granules,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ocean Organics Foliar Concentrate,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ocean Organics Foliar Spray ready to use,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ocean Organics Gift Box,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,,
Ocean Organics Soil Concentrate,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ocean Organics Urban Organic Comfrey Spray ready to use,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
OCP eco-aminogro,6047.0,Organic Crop Protectants,Soil & Plant Nutrition,Fish Fertiliser,
OCP eco-Flo Gypsum Concentrate & Hose-On,6047.0,Organic Crop Protectants,Soil & Plant Nutrition,Mineral Fertiliser,
OCP eco-Flo Lime Concentrate,6047.0,Organic Crop Protectants,Soil & Plant Nutrition,Mineral Fertiliser,
OCP eco-fungicide Organic Fungicide,6047.0,Organic Crop Protectants,Crop Management,Fungicide,
OCP eco-fungicide Organic Fungicide Ready to Use,6047.0,Organic Crop Protectants,Crop Management,Fungicide,
OCP eco-neem,6047.0,Organic Crop Protectants,Crop Management,Pesticide,
OCP eco-oil Organic Insect Spray,6047.0,Organic Crop Protectants,Crop Management,Insecticide,
OCP eco-oil Organic Insect Spray Ready to Use,6047.0,Organic Crop Protectants,Crop Management,Insecticide,
OCP eco-seaweed,6047.0,Organic Crop Protectants,Soil & Plant Nutrition,Seaweed Fertiliser,
OCP Slasher Organic Weedkiller,6047.0,Organic Crop Protectants,Crop Management,Herbicide,
OCP Slasher Organic Weedkiller RTU,6047.0,Organic Crop Protectants,Crop Management,Herbicide,
Oenobrett,,Laffort New Zealand Ltd,Clarification / Fining,,
Oenobrett ORG,,Laffort New Zealand Ltd,Clarification / Fining,,
Oenocell BIO,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Oenoferm Wild & Pure,2933.0,PGG Wrightson (Fruitfed Supplies),Yeast,,
Oenolees,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Oenolees MP,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
"Oenosteryl Effervescent2,5g (PMS)",5587.0,Laffort New Zealand Ltd,Preservative / Antioxidant,,
Oenostim,5592.0,Fine Wine Supplies,Yeast Nutrient,,
Oenozym,5592.0,Fine Wine Supplies,Enzyme,,
Omega 1 Step,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Omega MBR,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Onion Florentine Red (Code - 3418),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Onion Red Amposta (Code - 3425),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Onion Stuttgart Longkeeper (Code - 3430),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Onion Walla Walla (Code - 3435),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Open Pure Fraicheur,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
OpenPure,5629.0,Esvin Wine Resources Ltd,Yeast Nutrient,,
Opium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Opticalf,2846.0,Blue Pacific Minerals Ltd,Livestock Feed / Supplement,Supplement,Mineral
Opticalf (SKU# 1023371),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,Mineral
OptiCover® BIO,4547.0,Grosafe Chemicals Ltd,Crop Management,Adjuvant,
Optiflore O,5592.0,Fine Wine Supplies,Yeast Nutrient,,
Optiguard,2846.0,Blue Pacific Minerals Ltd,Livestock Feed / Supplement,Supplement,Mineral
Optimate,2846.0,Blue Pacific Minerals Ltd,Livestock Feed / Supplement,Supplement,Mineral
Optimate (SKU# 1036373),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,Mineral
OptiMum Red,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
OptiMum White,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Optivin® Pectexel,4472.0,Farmlands Co-Operative Society Ltd,Enzyme,,
Optizym,5587.0,Laffort New Zealand Ltd,Enzyme,,
Optyz,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,
Orf nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
OrganiBOR,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organibor,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organibor,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBOR,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Organibor,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organibor,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
OrganiBor,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organibor (SKU# 1015317),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Apple Cider Vinegar,5563.0,Natural Sugars (New Zealand) Ltd,Livestock Feed / Supplement,Supplement,Vinegar
Organic Block,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Boost,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Organic Boost (SKU# 1041672, 1012465, 1037868)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Broiler Starter Crumble,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
Organic Calf Nut Premix,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Caterpillar Bio Control,4850.0,Kiwicare Corporation Ltd,Crop Management,Pesticide,
Organic Compost,416.0,Biofeed Ltd,Soil & Plant Nutrition,,
Organic Compost,2863.0,Living Earth Ltd,Soil & Plant Nutrition,Compost,
Organic Dairy Cow Minerals,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Dairy Pellets,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
Organic Digester,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic Digester,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Microorganisms,
Organic Digester,4436.0,Biostart Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic Digester (SKU# 1046875),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic EnSpray 99 Insect Oil,4547.0,Grosafe Chemicals Ltd,Crop Management,Fungicide,
Organic Foliacin,4436.0,Biostart Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic Fresh,6294.0,The Bio Consulting Pty Ltd,Facility Management,Cleaning,
Organic Hay King,4436.0,Biostart Ltd,Livestock Feed / Supplement,Silage,
Organic Hay King,2933.0,PGG Wrightson (Fruitfed Supplies),Livestock Feed / Supplement,Silage,
Organic Hay King (SKU# 1042258),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Silage,
Organic Insect Control Concentrate,4850.0,Kiwicare Corporation Ltd,Crop Management,Insecticide,
Organic Insect Control Ready to Use,4850.0,Kiwicare Corporation Ltd,Crop Management,Insecticide,
Organic Interceptor Contact Weedkiller,2629.0,GreenPRO Solutions Pty Ltd,Crop Management,Herbicide,
Organic Interceptor Contact Weedkiller / Bioweed,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Herbicide,
Organic Interceptor Contact Weedkiller Ready to Use,2629.0,GreenPRO Solutions Pty Ltd,Crop Management,Herbicide,
Organic Invert Sugar Syrup,5563.0,Natural Sugars (New Zealand) Ltd,Apiary Management,,
Organic Iodine & Selenium,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
